frame_id,person_id,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0,0,708.55945,406.1075,709.30273,401.25998,706.4416,402.73505,693.2502,396.23013,698.37036,402.0136,670.8649,404.9406,695.621,422.35587,652.16394,413.47812,696.7216,456.21103,656.6262,423.77255,703.7035,476.06497,651.8365,460.0661,672.33875,466.9383,645.741,496.70178,690.1567,499.38635,635.00635,538.56934,695.87805,536.7474
0,1,811.23553,558.0027,813.14557,556.01746,811.292,555.19464,806.08167,548.22876,807.32733,547.1428,795.4954,541.712,795.94293,541.4368,826.5278,538.05707,809.62286,546.01306,849.2788,539.5475,827.2559,547.2726,759.9018,565.9382,762.0778,566.10754,781.8751,597.57574,792.6439,596.301,772.08307,626.93835,782.59467,621.86475
1,0,707.8071,407.73114,708.462,402.92938,705.40576,404.23898,692.27216,398.41418,696.32324,403.76077,669.3148,407.48352,694.3931,423.99435,650.60706,414.22855,695.0765,456.27277,656.7147,422.5483,702.73895,476.29233,651.33905,461.48535,672.07355,467.8763,645.6324,498.00006,690.41315,499.26318,635.0068,538.71783,696.0822,536.32446
1,1,812.85724,557.43835,815.825,555.1731,812.21,553.70276,814.2001,550.91486,806.8796,547.74286,802.5136,548.7179,788.35596,548.8431,806.27637,558.754,787.49677,567.92487,814.7302,564.15137,798.55066,583.5222,765.82184,566.0691,754.90015,566.6543,790.2935,594.8345,782.456,596.4746,774.82214,619.9901,771.5731,624.3189
2,0,707.0962,409.88205,707.5493,405.01633,705.01917,406.44073,690.34796,399.66617,696.2637,405.44278,667.19336,408.39764,693.2941,426.14124,647.99164,415.61633,693.52295,461.42426,654.27496,422.98254,702.9368,484.3158,648.5509,464.0731,669.87476,470.93213,643.8591,498.90845,689.1521,499.70276,635.5818,539.9912,695.90576,535.5267
2,1,811.8298,560.33466,814.0618,557.8987,811.20483,556.7453,810.35095,553.5684,804.6026,551.05676,794.92456,549.64026,785.3701,551.61847,796.8145,549.44336,783.36346,562.75916,806.6824,549.604,791.51166,572.91705,759.6804,566.8817,751.24695,568.7761,789.6098,594.11896,780.52484,597.6909,779.61725,621.80646,770.51733,628.171
3,0,704.78253,409.88736,705.4833,404.97473,701.50336,406.63226,690.73425,400.64758,691.205,406.4853,666.18195,409.96945,692.37787,427.24396,643.80774,416.89078,692.17426,462.70593,648.50525,434.97287,698.42,484.25232,647.2592,463.46066,668.7317,469.35614,642.1481,499.7873,689.6227,496.2798,634.5834,537.64923,698.29584,530.3657
4,0,704.7647,409.9007,705.4214,405.02383,701.54346,406.64322,690.5513,400.72812,691.25366,406.45993,666.0578,410.0879,692.24963,427.10834,643.5423,417.0493,691.9826,462.44913,648.3801,435.47153,698.7326,484.3211,647.1495,463.5603,668.6341,469.32388,642.19446,500.12964,689.95386,496.2445,634.4811,537.6627,698.8475,530.2147
5,0,703.9812,409.3272,704.97864,404.3763,700.76575,405.89383,690.6871,400.40192,690.70544,405.85107,666.4078,411.08777,691.1797,426.54324,643.9662,416.3798,690.4495,457.5619,645.68524,432.79468,693.89343,475.88626,646.79486,464.401,667.19543,469.45303,641.55054,501.0072,687.8247,496.80554,634.1538,535.8644,697.97076,527.0243
6,0,702.44946,406.95172,703.4219,402.08942,699.4205,403.61047,688.3708,398.2646,689.8741,403.91943,664.6781,408.32495,689.8502,424.35812,643.27936,414.192,687.46954,456.07678,645.8661,429.38477,687.7072,471.774,646.3271,461.38986,667.329,466.69736,640.997,499.91382,687.142,495.87622,634.28125,537.232,698.8979,528.74615
7,0,702.74255,402.80923,703.7985,397.71405,699.2842,399.5539,688.6297,395.07632,688.5176,401.42294,666.01715,407.0921,688.04865,423.0795,647.43665,407.76675,690.0149,451.31192,643.3359,412.8917,689.5031,457.786,647.7474,461.07532,666.5466,465.61993,640.23456,499.83893,686.0989,491.18256,632.25055,538.04065,699.619,521.5647
8,0,702.0127,398.20004,701.8006,393.96344,699.8712,395.39743,683.0094,392.84305,692.53015,398.854,664.5322,405.53735,690.5985,420.0454,644.8257,406.45212,691.25757,445.5869,644.15063,412.75928,688.4443,457.79175,648.34784,459.11017,670.218,463.29648,638.92413,499.61414,688.3952,492.5702,630.44867,536.58795,703.6673,519.2747
9,0,702.12256,398.29834,701.9029,394.05325,699.9928,395.5089,683.1111,392.93057,692.6714,398.97632,664.7157,405.7784,690.5786,420.26968,644.9423,406.54648,691.20044,445.83777,644.3843,412.64105,688.60565,457.6263,648.11743,459.44208,669.9111,463.55667,638.8101,499.63593,688.50366,492.1974,629.4406,536.45685,703.5029,518.7673
10,0,701.88074,399.33838,701.7966,394.35022,699.706,396.25702,680.361,392.65784,692.78845,400.35388,661.24963,406.58325,691.0768,422.17233,639.1918,409.38068,691.08923,444.3091,644.03357,422.30063,681.3871,444.17694,647.18896,462.41745,672.1232,466.3549,635.24884,499.44635,685.30505,493.69928,625.49774,536.5771,700.3004,516.86316
11,0,696.50696,402.12155,695.2817,398.15878,695.6978,399.26614,676.2889,397.2409,692.92114,402.28775,662.4158,412.20697,691.02686,426.02362,640.54016,417.2336,692.24786,455.2525,640.7028,423.65897,689.61816,467.5923,647.4785,464.05814,671.3521,468.88574,638.13837,495.94977,689.5469,493.20892,621.6392,528.70593,700.04456,520.1122
12,0,693.6234,407.45413,692.6173,403.45764,692.57745,403.7433,671.70905,403.0782,688.7323,405.51047,653.1265,420.23895,689.7488,427.44397,631.811,442.5842,693.45325,456.41885,633.4042,471.0038,682.72595,463.78528,646.6113,474.09464,676.35736,476.94666,634.32434,500.65393,691.76294,502.38916,615.65924,537.49615,698.08307,536.20557
13,0,666.14716,418.23804,667.57367,414.1025,667.7263,414.80685,661.97485,414.82892,682.7327,417.7215,649.05457,432.73413,690.52026,440.7095,632.21716,448.04855,692.4466,470.49677,638.60675,448.43863,683.8933,484.78067,650.69995,489.55804,679.9156,492.30786,635.10864,509.4143,675.70197,512.51855,633.6,536.7998,673.8701,540.0244
14,0,664.65967,417.28967,666.2962,413.21262,666.53125,413.9257,662.5659,414.12976,682.69,416.9912,649.9298,432.0442,690.6636,440.11783,632.6098,447.84665,692.7067,470.5214,637.1791,449.23883,684.7999,485.45688,651.81744,488.52234,680.2525,491.31012,635.2891,509.65894,674.8436,512.9347,634.044,536.37463,673.1386,539.7334
14,1,746.81647,484.76334,745.47046,480.55862,746.5031,480.56128,726.3077,481.06464,744.224,483.286,714.7763,502.40454,743.5882,507.8681,711.7917,531.6799,753.20447,541.43396,717.6484,554.68463,759.89484,566.1675,709.8718,554.33746,731.1535,557.702,704.2029,576.6384,734.3251,584.0601,698.97754,609.6118,731.6644,616.9998
